line_number;line_text;user_class
"1;«За що мене, як росла я,;KateDietkova"
"2;Люде не любили?;AndriyTsomko"
"3;За що мене, як виросла,;Shatroffsky"
"4;Молодую вбили?;Rarxan"
"5;За що вони тепер мене;AnaHudym"
"6;В палатах вітають,;AntonAntoniuk"
"7;Царівною називають,;KateDietkova"
"8;Очей не спускають;AndriyTsomko"
"9;З мого цвіту? Дивуються,;SergLW"
"10;Не знають, де діти!;Jerry"
"11;Скажи мені, мій братику,;NickF"
"12;Королевий Цвіте!»;RomanHrech"
"13;«Я не знаю, моя сестро».;Stalgen"
"14;І Цвіт Королевий;Shatroffsky"
"15;Схилив свою головоньку;ValeriyM250"
"16;Червоно-рожеву;ValeriyM250"
"17;До білого пониклого;SpRoffi"
"18;Личенька Лілеї.;Lamaret"
"19;І заплакала Лілея;NickF"
"20;Росою-сльозою...;AntonAntoniuk"
"21;Заплакала і сказала:;BestFunCoder"
"22;«Брате мій, з тобою;TarasR"
"23;Ми давно вже кохаємось,;SergLW"
"24;А я й не сказала,;Rarxan"
"25;Як була я людиною,;Stalgen"
"26;Як я мордувалась.;Jerry"
"27;Моя мати... чого вона,;AnaHudym"
"28;Вона все журилась;Jerry"
"29;І на мене, на дитину,;AntonAntoniuk"
"30;Дивилась, дивилась;BestFunCoder"
"31;І плакала? Я не знаю, ;TarasR"
"32;Мій брате єдиний!;Lamaret"
"33;Хто їй лихо заподіяв?;SpRoffi"
"34;Я була дитина,;Stalgen"
"35;Я гралася, забавлялась,;SpRoffi"
"36;А вона все в’яла,;NickF"
"37;Та нашого злого пана;OsartemVik"
"38;Кляла-проклинала.;Stalgen"
"39;Та й умерла. А мене пан;BestFunCoder"
"40;Взяв догодувати.;OsartemVik"
"41;Я виросла, викохалась;Shatroffsky"
"42;У білих палатах.;AntonAntoniuk"
"43;Я не знала, що байстря я,;SergLW"
"44;Що його дитина.;NickF"
"45;Пан поїхав десь далеко,;Vladis"
"46;А мене покинув.;ValeriyM250"
"47;І прокляли його люде,;AnaHudym"
"48;Будинок спалили...;OsartemVik"
"49;А мене, не знаю за що,;Vladis"
"50;Убити не вбили,;TarasR"
"51;Тілько мої довгі коси;Jerry"
"52;Остригли, накрили;Lamaret"
"53;Острижену ганчіркою.;RomanHrech"
"54;Та ще й реготались.;Lamaret"
"55;Жиди навіть нечистії;ValeriyM250"
"56;На мене плювали.;AntonAntoniuk"
"57;Отаке-то, мій братику,;Rarxan"
"58;Було мені в світі.;Vladis"
"59;Молодого, короткого;SpRoffi"
"60;Не дали дожити;Rarxan"
"61;Люде віку. Я умерла;Rarxan"
"62;Зимою під тином,;SergLW"
"63;А весною процвіла я;AndriyTsomko"
"64;Цвітом при долині,;AnaHudym"
"65;Цвітом білим, як сніг, білим!;RomanHrech"
"66;Аж гай звеселила.;SergLW"
"67;Зимою люде... Боже мій!;AndriyTsomko"
"68;В хату не пустили.;Stalgen"
"69;А весною, мов на диво,;RomanHrech"
"70;На мене дивились.;RomanHrech"
"71;А дівчата заквітчались;Vladis"
"72;І почали звати;OsartemVik"
"73;Лілеєю-снігоцвітом;;Shatroffsky"
"74;І я процвітати;ValeriyM250"
"75;Стала в гаї, і в теплиці, ;AndriyTsomko"
"76;І в білих палатах.;KateDietkova"
"77;Скажи ж мені, мій братику,;OsartemVik"
"78;Королевий Цвіте,;TarasR"
"79;Нащо мене Бог поставив;Shatroffsky"
"80;Цвітом на сім світі?;TarasR"
"81;Щоб людей я веселила,;KateDietkova"
"82;Тих самих, що вбили;Jerry"
"83;Мене й матір?.. Милосердий;AnaHudym"
"84;Святий Боже милий!»;Lamaret"
"85;І заплакала Лілея,;Vladis"
"86;А Цвіт Королевий;NickF"
"87;Схилив свою головоньку;KateDietkova"
"88;Червоно-рожеву;SpRoffi"
"89;На білеє пониклеє;BestFunCoder"
"90;Личенько Лілеї.;BestFunCoder"
